tournament,player,points,bonus_a,bonus_b

S1E1,Pepis,100,0,4
S1E1,Artur,25,4,4
S1E1,Michal,4,0,0
S1E1,Piotrek,62,0,0
S1E1,Szumik,32,8,4
S1E1,Szatan,55,1,0
S1E1,Jacek,88,0,4
S1E1,Szymon,5,0,0
