tournament,player,points,bonus_a,bonus_b

S1E10,Pepis,10,0,0
S1E10,Artur,10,0,0
S1E10,Michal,10,0,0
S1E10,Piotrek,10,0,0
S1E10,Szumik,10,0,0
S1E10,Szatan,10,0,0
S1E10,Jacek,10,0,0
S1E10,Szymon,10,0,0
